"teamId";"teamName";"teamHome";"teamCountry"
1;"Arsenal";"Emirates";"England"
2;"Manchester City";"Etihad";"England"
3;"Manchester United";"Old Trafford";"England"
4;"Real Madrid";"Santiago Bernabéu";"Spain"
5;"Bayern Munich";"Allianz Arena";"Germany"
